penalizer,mean_cv_cindex,sd_cv_cindex,nonzero_genes
0.2,0.6782361638771234,0.057390192388727536,0
0.5,0.6778409874029172,0.05986595932107342,0
0.01,0.6552685510886029,0.0435954061289317,23
0.03,0.6515703648192657,0.04500387977825689,13
0.005,0.6447596503271843,0.04617940437374089,27
0.05,0.6440256097787453,0.03776800553181257,12
0.001,0.6354740442219555,0.04684558556972025,29
0.1,0.6215132094813653,0.035252532234785576,6
