gene,coefficient
F9,0.201667183379348
EPO,0.1735121459211853
CFHR3,-0.15938283051636748
MYO18B,0.14560852309353495
ADH4,-0.11050215632103176
C5orf27,-0.10998728319730759
IL8,0.1024104490668573
CD5L,-0.07268727740171387
SPP1,0.06842395178733311
RDH16,-0.06423072579950918
ADH1C,-0.05164637946580917
SERPINA7,-0.04909357741448578
LECT2,-0.04538221541496277
